,start_datetime,end_datetime,start_frequency,end_frequency,flare_location,flare_region,importance,cme_datetime,cpa,width,speed,plot,is_halo,width_lower_bound
0,1997-04-01 14:00:00,1997-04-01 14:15:00,8000,4000,S25E16,8026,M1.3,1997-04-01 15:18:00,74,79,312,PHTX,False,False
1,1997-04-07 14:30:00,1997-04-07 17:30:00,11000,1000,S28E19,8027,C6.8,1997-04-07 14:27:00,NaN,360,878,PHTX,True,False
2,1997-05-12 05:15:00,1997-05-14 16:00:00,12000,80,N21W08,8038,C1.3,1997-05-12 05:30:00,NaN,360,464,PHTX,True,False
3,1997-05-21 20:20:00,1997-05-21 22:00:00,5000,500,N05W12,8040,M1.3,1997-05-21 21:00:00,263,165,296,PHTX,False,False
4,1997-09-23 21:53:00,1997-09-23 22:16:00,6000,2000,S29E25,8088,C1.4,1997-09-23 22:02:00,133,155,712,PHTX,False,False
5,1997-11-03 05:15:00,1997-11-03 12:00:00,14000,250,S20W13,8100,C8.6,1997-11-03 05:28:00,240,109,227,PHTX,False,False
6,1997-11-03 10:30:00,1997-11-03 11:30:00,14000,5000,S16W21,8100,M4.2,1997-11-03 11:11:00,233,122,352,PHTX,False,False
7,1997-11-04 06:00:00,1997-11-05 04:30:00,14000,100,S14W33,8100,X2.1,1997-11-04 06:10:00,NaN,360,785,PHTX,True,False
8,1997-11-06 12:20:00,1997-11-07 08:30:00,14000,100,S18W63,8100,X9.4,1997-11-06 12:10:00,NaN,360,1556,PHTX,True,False
9,1997-11-27 13:30:00,1997-11-27 14:00:00,14000,7000,N17E63,8113,X2.6,1997-11-27 13:56:00,98,91,441,PHTX,False,False
10,1997-12-12 22:45:00,1997-12-12 23:20:00,14000,8000,N25W52,8116,B9.4,1997-12-13 00:26:00,278,73,191,PHTX,False,False
11,1998-01-25 15:03:00,1998-01-25 15:18:00,14000,10000,N21E25,8141,C1.1,1998-01-25 15:26:00,NaN,360,693,PHTX,True,False
12,1998-03-29 03:40:00,1998-03-29 03:52:00,14000,7000,SW90,NaN,NaN,1998-03-29 03:48:00,NaN,360,1397,PHTX,True,False
13,1998-04-20 10:25:00,1998-04-22 06:00:00,10000,35,S22W90,8194,M1.4,1998-04-20 10:07:00,284,165,1863,PHTX,False,False
14,1998-04-23 06:00:00,1998-04-23 15:30:00,14000,200,S17E90,8210,X1.2,1998-04-23 05:55:00,NaN,360,1691,PHTX,True,False
15,1998-04-24 09:17:00,1998-04-24 09:25:00,4700,2600,S10E90,8210,C8.9,1998-04-24 08:55:00,100,84,1184,PHTX,False,False
16,1998-04-27 09:20:00,1998-04-27 10:00:00,10000,1000,S16E50,8210,X1.0,1998-04-27 08:56:00,NaN,360,1385,PHTX,True,False
17,1998-04-29 16:30:00,1998-04-29 17:00:00,10000,2000,S18E20,8210,M6.8,1998-04-29 16:58:00,NaN,360,1374,PHTX,True,False
18,1998-05-02 14:25:00,1998-05-02 14:50:00,5000,3000,S15W15,8210,X1.1,1998-05-02 14:06:00,NaN,360,938,PHTX,True,False
19,1998-05-06 08:25:00,1998-05-06 08:35:00,14000,5000,S11W65,8210,X2.7,1998-05-06 08:29:00,309,190,1099,PHTX,False,False
20,1998-05-09 03:35:00,1998-05-09 10:00:00,9000,400,S14W89,8210,M7.7,1998-05-09 03:35:00,262,178,2331,PHTX,False,False
21,1998-05-11 21:40:00,1998-05-11 22:00:00,10000,1000,N32W90,8214,B6.6,1998-05-11 21:55:00,208,301,830,PHTX,False,True
22,1998-05-19 10:00:00,1998-05-19 11:30:00,14000,3000,N29W46,8222,B7.9,1998-05-19 10:27:00,268,139,801,PHTX,False,False
23,1998-05-27 13:30:00,1998-05-27 14:20:00,4000,1000,N19W62,8226,C7.5,1998-05-27 13:45:00,175,268,878,PHTX,False,False
24,1998-06-11 10:15:00,1998-06-11 10:20:00,8000,4000,N16E86,8243,M1.4,1998-06-11 10:28:00,123,177,1223,PHTX,False,False
25,1998-06-16 18:20:00,1998-06-17 21:00:00,12000,50,S22W90,8232,M1.0,1998-06-16 18:27:00,341,281,1484,PHTX,False,False
26,1998-06-20 19:39:00,1998-06-20 20:00:00,2600,1800,NaN,NaN,NaN,1998-06-20 18:20:00,NaN,360,964,PHTX,True,False
27,1998-06-22 07:15:00,1998-06-22 09:20:00,6000,2000,N16W46,8243,C2.9,1998-06-22 05:01:00,265,59,206,PHTX,False,False
28,1998-11-02 14:00:00,1998-11-02 14:40:00,14000,4000,S25E47,8373,C4.4,1998-11-02 14:18:00,116,169,661,PHTX,False,False
29,1998-11-05 22:00:00,1998-11-07 08:00:00,5000,50,N22W18,8375,M8.4,1998-11-05 20:44:00,NaN,360,1118,PHTX,True,False
30,1998-11-06 03:00:00,1998-11-06 05:30:00,5000,1000,NaN,NaN,NaN,1998-11-06 02:18:00,159,160,405,PHTX,False,True
31,1998-11-07 00:20:00,1998-11-07 00:50:00,14000,6000,NE90b,NaN,C1.0,1998-11-07 01:54:00,296,19,381,PHTX,False,False
32,1998-11-08 11:20:00,1998-11-08 11:30:00,10000,8000,S21W37,NaN,C5.9,1998-11-08 11:54:00,264,196,559,PHTX,False,False
33,1998-12-18 17:50:00,1998-12-18 18:15:00,14000,5000,N19E64,8415,M8.0,1998-12-18 18:09:00,NaN,360,1749,PHTX,True,False
34,1999-04-24 13:50:00,1999-04-24 00:00:00,3700,1500,NW90b,NaN,NaN,1999-04-24 13:31:00,NaN,360,1495,PHTX,True,False
35,1999-05-03 05:50:00,1999-05-03 08:45:00,8000,200,N15E32,8525,M4.4,1999-05-03 06:06:00,NaN,360,1584,PHTX,True,False
36,1999-05-27 10:55:00,1999-05-28 10:00:00,14000,70,W90b,NaN,NaN,1999-05-27 11:06:00,NaN,360,1691,PHTX,True,False
37,1999-06-01 18:50:00,1999-06-02 09:00:00,14000,400,NW90b,NaN,NaN,1999-06-01 19:37:00,NaN,360,1772,PHTX,True,False
38,1999-06-04 07:05:00,1999-06-05 01:00:00,14000,60,N17W69,8552,M3.9,1999-06-04 07:26:00,289,150,2230,PHTX,False,False
39,1999-06-11 11:45:00,1999-06-11 17:00:00,14000,400,N38E90,NaN,C8.8,1999-06-11 11:26:00,35,181,1569,PHTX,False,True
40,1999-06-22 18:25:00,1999-06-22 18:40:00,3000,2000,N22E37,8592,M1.7,1999-06-22 18:54:00,NaN,360,1133,PHTX,True,False
41,1999-06-23 05:50:00,1999-06-23 07:10:00,12000,2000,NaN,NaN,NaN,1999-06-23 06:06:00,264,154,450,PHTX,False,True
42,1999-06-23 07:07:00,1999-06-23 07:14:00,14000,2000,N23E42,8596,M1.7,1999-06-23 07:31:00,NaN,360,1006,PHTX,True,False
43,1999-06-28 21:03:00,1999-06-28 21:10:00,3500,1500,N22W44,8592,C3.5,1999-06-28 21:30:00,336,184,903,PHTX,False,True
44,1999-06-29 19:20:00,1999-06-29 19:55:00,14000,2000,S14E01,8603,M1.6,1999-06-29 19:54:00,NaN,360,560,PHTX,True,False
45,1999-07-05 03:10:00,1999-07-05 04:05:00,2000,1000,SW90b,8603,C7.6,1999-07-05 02:54:00,284,190,670,PHTX,False,False
46,1999-08-28 18:25:00,1999-08-28 18:33:00,16000,12000,S26W14,8674,X1.1,1999-08-28 18:26:00,120,245,462,PHTX,False,False
47,1999-09-03 03:00:00,1999-09-03 04:10:00,2000,1000,S36W24,8679,C2.1,1999-09-03 00:06:00,184,175,512,PHTX,False,False
48,1999-09-10 07:30:00,1999-09-10 07:35:00,5500,2000,NW90b,NaN,NaN,1999-09-10 07:54:00,18,125,1467,PHTX,False,False
49,1999-10-14 09:10:00,1999-10-14 10:00:00,14000,4000,N11E32,8731,X1.8,1999-10-14 09:26:00,NaN,360,1250,PHTX,True,False
50,1999-10-17 23:27:00,1999-10-17 23:33:00,11500,10000,N03E38,NaN,NaN,1999-10-18 00:06:00,40,87,247,PHTX,False,False
51,1999-11-16 03:27:00,1999-11-16 03:48:00,7000,4000,N17E38,8766,M3.8,1999-11-16 03:06:00,81,98,636,PHTX,False,False
52,1999-11-16 05:17:00,1999-11-16 05:34:00,14000,7000,N08W39,8759,M1.8,1999-11-16 05:30:00,285,129,712,PHTX,False,False
53,2000-01-18 17:31:00,2000-01-18 22:00:00,14000,500,S19E11,8831,M3.9,2000-01-18 17:54:00,NaN,360,739,PHTX,True,False
54,2000-01-28 20:20:00,2000-01-28 20:24:00,2200,1100,S31W17,8841,C4.7,2000-01-28 20:12:00,NaN,360,1177,PHTX,True,False
55,2000-02-05 19:34:00,2000-02-05 19:34:00,5800,2900,N26E52,8858,X1.2,2000-02-05 19:54:00,60,76,632,PHTX,False,False
56,2000-02-08 09:05:00,2000-02-11 02:20:00,12000,20,N25E26,8858,M1.3,2000-02-08 09:30:00,NaN,360,1079,PHTX,True,False
57,2000-02-10 01:55:00,2000-02-10 02:00:00,14000,8000,N31E04,8858,C7.3,2000-02-10 02:30:00,NaN,360,944,PHTX,True,False
58,2000-02-12 03:55:00,2000-02-12 09:20:00,4000,400,N26W23,8858,M1.7,2000-02-12 04:31:00,NaN,360,1107,PHTX,True,False
59,2000-02-17 20:42:00,2000-02-18 22:12:00,14000,100,S29E07,8872,M1.3,2000-02-17 21:30:00,NaN,360,728,PHTX,True,False
60,2000-02-18 09:44:00,2000-02-18 09:54:00,2000,1200,NW90b,NaN,C1.1,2000-02-18 09:54:00,286,118,890,PHTX,False,False
61,2000-03-02 13:50:00,2000-03-02 14:03:00,14000,6000,S20W58,8882,M6.5,2000-03-02 13:54:00,235,76,835,PHTX,False,False
62,2000-03-07 16:24:00,2000-03-07 16:48:00,14000,4500,S22E77,8906,M1.2,2000-03-07 16:30:00,120,108,644,PHTX,False,False
63,2000-03-27 06:56:00,2000-03-27 06:58:00,14000,10000,S00E90,8932,C2.3,2000-03-27 07:31:00,129,90,487,PHTX,False,False
64,2000-04-04 15:45:00,2000-04-04 16:00:00,14000,9000,N16W66,8933,C9.7,2000-04-04 16:32:00,NaN,360,1188,PHTX,True,False
65,2000-04-09 23:15:00,2000-04-09 23:45:00,4500,1000,S14W01,8948,M3.1,2000-04-10 00:30:00,NaN,360,409,PHTX,True,False
66,2000-04-18 15:00:00,2000-04-18 16:00:00,14000,6000,S50W30,altr,FILA,2000-04-18 14:54:00,195,105,668,PHTX,False,False
67,2000-05-04 11:10:00,2000-05-04 13:00:00,6500,1000,S17W87,8970,M6.8,2000-05-04 11:26:00,235,170,1404,PHTX,False,True
68,2000-05-05 16:35:00,2000-05-05 17:30:00,14000,2500,S17W87,8970,M1.5,2000-05-05 15:50:00,NaN,360,1594,PHTX,True,False
69,2000-05-07 21:15:00,2000-05-08 00:00:00,14000,500,W90b,NaN,NaN,2000-05-07 20:50:00,NaN,360,1781,PHTX,True,False
70,2000-05-12 23:34:00,2000-05-12 23:42:00,14000,7000,E90b,NaN,NaN,2000-05-12 23:26:00,NaN,360,2604,PHTX,True,False
71,2000-05-15 16:47:00,2000-05-16 14:00:00,4800,40,S24W67,8993,C7.8,2000-05-15 16:26:00,257,165,1212,PHTX,False,True
72,2000-06-02 22:00:00,2000-06-02 22:15:00,14000,8000,N16E60,9026,M7.6,2000-06-02 21:30:00,69,104,547,PHTX,False,False
73,2000-06-06 15:20:00,2000-06-08 09:00:00,14000,40,N20E18,9026,X2.3,2000-06-06 15:54:00,NaN,360,1119,PHTX,True,False
74,2000-06-10 17:15:00,2000-06-10 18:45:00,10000,1000,N22W38,9026,M5.2,2000-06-10 17:08:00,NaN,360,1108,PHTX,True,False
75,2000-06-15 19:52:00,2000-06-15 19:56:00,5000,2500,N20W65,9041,M1.8,2000-06-15 20:06:00,298,116,1081,PHTX,False,False
76,2000-06-17 03:00:00,2000-06-17 04:15:00,14000,1000,N22W72,9041,M3.5,2000-06-17 03:28:00,298,133,857,PHTX,False,False
77,2000-06-19 01:19:00,2000-06-19 01:22:00,3800,1900,N42E60,NaN,NaN,2000-06-18 21:30:00,8,49,459,PHTX,False,False
78,2000-06-23 14:40:00,2000-06-22 15:05:00,14000,2000,N26W72,9042,M3.0,2000-06-23 14:54:00,282,198,847,PHTX,False,True
79,2000-06-25 08:10:00,2000-06-25 09:00:00,12000,2500,N16W55,9046,M1.9,2000-06-25 07:54:00,262,165,1617,PHTX,False,False
80,2000-07-10 22:00:00,2000-07-10 23:30:00,14000,1000,N18E49,9077,M5.7,2000-07-10 21:50:00,67,289,1352,PHTX,False,True
81,2000-07-11 13:00:00,2000-07-11 13:30:00,12000,1000,N18E27,9077,X1.0,2000-07-11 13:27:00,NaN,360,1078,PHTX,True,False
82,2000-07-12 20:05:00,2000-07-12 20:35:00,6000,1000,N19W61,9070,M1.5,2000-07-12 20:30:00,281,101,820,PHTX,False,False
83,2000-07-14 10:30:00,2000-07-15 14:30:00,14000,80,N22W07,9077,X5.7,2000-07-14 10:54:00,NaN,360,1674,PHTX,True,False
84,2000-07-22 11:45:00,2000-07-22 12:45:00,14000,2000,N14W56,9085,M3.7,2000-07-22 11:54:00,259,229,1230,PHTX,False,True
85,2000-08-11 11:35:00,2000-08-11 11:59:00,2800,2000,NW90b,NaN,NaN,2000-08-11 07:31:00,273,70,1071,PHTX,False,False
86,2000-09-12 12:00:00,2000-09-13 12:20:00,14000,60,S19W06,DSF,M1.0,2000-09-12 11:54:00,NaN,360,1550,PHTX,True,False
87,2000-09-12 18:15:00,2000-09-12 19:00:00,2000,1000,NE90b,NaN,NaN,2000-09-12 17:30:00,NaN,360,1053,PHTX,True,False
88,2000-09-16 04:30:00,2000-09-16 10:30:00,14000,400,N14W07,9165,M5.9,2000-09-16 05:18:00,NaN,360,1215,PHTX,True,False
89,2000-09-19 08:45:00,2000-09-19 10:20:00,12000,1500,N14W46,9165,M5.1,2000-09-19 08:50:00,283,76,766,PHTX,False,False
90,2000-09-25 02:20:00,2000-09-25 03:00:00,14000,1000,N09W18,9169,M1.8,2000-09-25 02:50:00,NaN,360,587,PHTX,True,False
91,2000-10-05 22:10:00,2000-10-05 22:35:00,5000,1250,N25W90,9177,NaN,2000-10-05 18:26:00,323,86,1046,PHTX,False,False
92,2000-10-16 07:10:00,2000-10-16 08:00:00,14000,1000,N03W90,9182,M2.5,2000-10-16 07:27:00,NaN,360,1336,PHTX,True,False
93,2000-10-25 09:30:00,2000-10-26 00:00:00,10000,300,N09W63,9199,C4.0,2000-10-25 08:26:00,NaN,360,770,PHTX,True,False
